"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.154666666666667,0.353225225225225,0.184706471207739,-0.365013268347896,-1.26745877668608,35,"3119;3447;3117;3442;3127;3112;3123;3107"
"KEGG_AXON_GUIDANCE",0.0440762150470138,0.155185007144694,0.321775918075361,-0.284372290234676,-1.25169005842237,128,"63928;7869;2770;1073;57556;10512;1942;5058;998;10507;8633;5365;54910;4233;8482;1072;6092;2044;4893;1020;1808;56896;219699;11261;9723;5879;387;25791;80031;6091;2771;5532"
"KEGG_BASAL_CELL_CARCINOMA",0.00465162023547784,0.0262632397902787,0.407017918923954,0.471530847442768,1.63653631272036,55,"2735;7478;2736;8324;8325;6608;51176;7476;8321;8643;83439;7475;2535;2737;6932;8326;27148;7472;7473;54361;8322;6934;5727;8323;80326"
"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.897959183673469,0.985698306168105,0.0619762736001998,-0.21164465165311,-0.727788027094439,33,"2967;6880;6884;2963;51616;6879;2959;2957;6881;27097;2965;2960;6882;10629;2958;6873;138474;6872;2962"
"KEGG_BASE_EXCISION_REPAIR",0.375,0.627475247524752,0.110122263835536,-0.303432171175991,-1.04342018327545,33,"2237;5111;328;10038;143;142;4913;55247;27301;54107;8930;4350;10039;252969;27343;3146;56655;7515"
"KEGG_BETA_ALANINE_METABOLISM",0.114558472553699,0.302505966587112,0.204294756516886,-0.438592180860022,-1.35584347852201,22,"84735;2572;2571;1806;219;1892;223;3030;6723"
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.00206772527410492,0.0151932857097275,0.431707695803346,-0.5976282397686,-1.84748015772185,22,"6319;3992;51144;570;79966;30;60481;201562;11332;9200;3030;9524"
"KEGG_BLADDER_CANCER",0.169620253164557,0.382210970464135,0.170932335370056,-0.330924400283103,-1.21356262674961,41,"1870;1890;23604;999;7057;4609;4893;1869;5604;7157"
"KEGG_BUTANOATE_METABOLISM",0.00484093782499775,0.0263909191104716,0.407017918923954,-0.518994269390044,-1.75036072919296,30,"2572;39;3157;2571;5162;35;3155;6296;219;1892;5019;223;3030;38;79944;501;1962;622;65985;56898"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.976119402985075,0.985698306168105,0.0655321029282414,-0.167680185298545,-0.679434719282173,75,"1380;63928;25780;8517;4893;11261;3725;5879;971;5532;2353;2885;5604"
