"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PYGO1",192.744039540105,1.08551936913394,0.196434676632216,5.52610866749537,3.27411382663637e-08,9.61952831787026e-06
"PUF60",1250.40183747312,-0.679857790529734,0.123099474724782,-5.52283258762651,3.33577548273665e-08,9.66643761120699e-06
"RBM42",503.678015359673,-0.778323723341316,0.141139280295746,-5.51457908606593,3.49615668269327e-08,9.99428357644506e-06
"NOA1",227.120769205124,-0.597006914684835,0.108550757184423,-5.49979502833452,3.80232997399494e-08,1.07245984359852e-05
"ACAD9",479.987821704633,-0.428333613173325,0.0781207800180274,-5.48296641526724,4.18252444135754e-08,1.12810997019125e-05
"MAK",122.476151490449,1.17084789900167,0.213536028953445,5.48313979959298,4.17842558037543e-08,1.12810997019125e-05
"CCDC144CP",288.548088602927,1.10103392951417,0.200856853847889,5.48168463470999,4.21294732178824e-08,1.12810997019125e-05
"RANBP1",214.198284573286,-0.729686748121395,0.133086743996821,-5.48279059362083,4.18668490246419e-08,1.12810997019125e-05
"CXorf56",166.904721959407,-0.732042704818664,0.133758457376579,-5.47287042013124,4.42803901602666e-08,1.17088421681285e-05
"LINC-PINT",1281.66299048045,0.863651458169866,0.158123433465556,5.46188151396293,4.7111449092276e-08,1.21536048060732e-05
"SYAP1",362.728928901512,-0.543150419710296,0.0994191732916628,-5.46323613169538,4.67532025047981e-08,1.21536048060732e-05
"TMEM222",423.151438093557,-0.584393273975258,0.107162164229586,-5.45335453213921,4.94283828063173e-08,1.24616698606598e-05
"PSENEN",154.274237435264,-0.614049836009232,0.112604500454273,-5.45315536707692,4.94837982554327e-08,1.24616698606598e-05
"SMG1P7",71.8517332335465,1.30800058286408,0.240248372511895,5.4443681311486,5.19896016795908e-08,1.29386827521184e-05
"C9orf84",86.8506184699346,1.37310434292311,0.252337964173555,5.44152897254378,5.28251994588886e-08,1.29937705738759e-05
"VPS39",1605.08674902308,-0.484303163123833,0.0891401507408277,-5.43305299686928,5.53979455654162e-08,1.34699786263312e-05
"ADORA2A-AS1",45.0145796558348,2.40055887862037,0.443222785000825,5.41614501749024,6.08977154393189e-08,1.44744974427343e-05
"XRCC6",1138.81513654328,-0.840454736528311,0.155134122998125,-5.41760072049699,6.04041230284279e-08,1.44744974427343e-05
"COL6A6",53.4311306338047,1.10904941434437,0.205154252872719,5.40592943511849,6.44731777061929e-08,1.51540622355201e-05
"MPP2",1346.82051366736,-0.763249504199435,0.141446575438402,-5.39602674602623,6.81327946598265e-08,1.58382542663074e-05
"C1orf94",14.4977571760293,-2.47439361107997,0.459405924449522,-5.38607248925858,7.20139285521239e-08,1.64528622251372e-05
"LOC284933",55.3178601369074,2.6509890345527,0.492265839186973,5.38527930138536,7.23322391480459e-08,1.64528622251372e-05
"WDR77",271.246271300057,-0.550438736547461,0.102258136209358,-5.38283560557489,7.33214976621207e-08,1.65004570377075e-05
"NEK4",519.54329581455,0.454077812147293,0.0845771165339875,5.36880223346017,7.92612759846005e-08,1.72854951770953e-05
"NPIPB3",55.7124484275216,1.40246166094083,0.261184477022091,5.36962103158302,7.89022693868282e-08,1.72854951770953e-05
"LOC101928238",25.0188980776306,-1.3112224177687,0.244114136927643,-5.37134978855137,7.81494511477342e-08,1.72854951770953e-05
"CUBN",90.7029170468112,1.16603764118718,0.217475170010576,5.36170470003759,8.24402307835684e-08,1.77953126734246e-05
"ATOX1",239.865747018508,-0.914931601537567,0.171275325029133,-5.34187631161665,9.19894160442908e-08,1.9636772040252e-05
"ZNF782",245.030765259299,0.714543850697708,0.133803896230014,5.34023201737998,9.28277018069962e-08,1.9636772040252e-05
"EMC4",374.225586221265,-0.761728970252639,0.142763392334491,-5.33560430161203,9.52268697602607e-08,1.9944843593154e-05
"CTSV",23.296251579682,-2.86359321806406,0.536977906667202,-5.33279522771651,9.67123520912455e-08,2.00573832954726e-05
