"gene","kME"
"TM4SF18",0.366263361564832
"LINC01354",0.361306389493011
"SSTR5-AS1",0.356715420885747
"ITIH1",0.352660440081377
"SOX18",0.350714578858292
"EPHA1",0.348877787925807
"MYRFL",0.347325091053811
"ZNF385D-AS2",0.345003982788411
"FAT2",0.342642099890023
"TTR",0.333766183761231
"ENTPD2",0.33297809127355
"PRR30",0.324326245418239
"HSPA1B",0.323841102940915
"ADGRG3",0.320740670782984
"XIST",0.314531254313495
"SEMA3G",0.307369539116366
"CCDC155",0.303589706950762
"TBX21",0.286955199832933
"HSPA6",0.278830490710197
