"gene","kME"
"ACOT11",0.674518227196827
"FXYD3",0.674254684745718
"NUPR1",0.672801578105001
"TNFRSF10D",0.67217726726564
"LCN6",0.672121694679869
"EPS8L2",0.671918575824896
"ZIC1",0.670224544332322
"LOC100506801",0.669958073023496
"LOC729732",0.669532151100116
"FAM46A",0.667127008779031
"FAM167B",0.664723398881072
"ITIH4",0.663931649561392
"ZDHHC11",0.662712928533349
"SULT1A2",0.662393145338939
"S100A4",0.660873343705389
"PLA2G12B",0.659842181931485
"LOC100506136",0.659793514499848
"LINC01561",0.657899493563625
"COL22A1",0.656735305374592
"PHYHD1",0.655587286924958
"KLHL30",0.653742815122204
"LINC01730",0.645972521031836
"UBE2C",0.645094695214233
"LTA",0.643576699225358
"PDIA2",0.642683096099711
"CTRB1",0.6426777697505
"ARL17A",0.642675342883327
"SNORD95",0.641270596032634
"ZIC3",0.640753646108246
"VENTX",0.638221773978019
"LOC284632",0.63510303252438
"FOXD2",0.632613787071755
"AHNAK",0.62874999864625
"HIC1",0.628143650636224
"GPHA2",0.624932497070085
"LOC101928510",0.623797516656857
"IL16",0.623659882948678
"HERC2P2",0.62332494807914
"PABPC4L",0.622781671314056
"AEBP1",0.622245001617049
"CNKSR1",0.612886915170111
"LINC00475",0.612595174561515
"SIGLEC1",0.612503395660577
"FENDRR",0.611964769132723
"DHH",0.611694824875932
"ADCY4",0.610157994887626
"PTGDR2",0.608873024094961
"CASP12",0.60851263065307
"LINC00311",0.608420552049443
"LOC100133331",0.602579827691238
"ATAD3C",0.598246492802137
"TRIL",0.597514787753217
"MYL9",0.596050589212531
"LOC101926964",0.594676482909155
"ANKRD37",0.591946700759313
"TSPAN18",0.591696575905721
"OR2C3",0.59163500846828
"P2RY2",0.589085024387161
"VTRNA1-1",0.587860507255979
"MYH11",0.58763720580448
"TBX2",0.584294725877216
"GAS8-AS1",0.580069125806939
"LRRC37A2",0.578669030843207
"MROH7",0.577689762254937
"SIGLEC16",0.575032456562249
"SNORA44",0.57219401076728
"MIR4740",0.572056751933109
"BTN2A3P",0.570453386042099
"COL13A1",0.567744875636636
"HPX",0.56538835854068
"MAJIN",0.564223676001566
"ATP2A3",0.55660467076417
"C9orf84",0.556377207059257
"SDPR",0.554275840952159
"LCN12",0.552603453730635
"PI4KAP1",0.552185882900906
"COL1A2",0.551043593347195
"CBLN3",0.549828715786651
"LOC650226",0.545424630613373
"CARMN",0.545075163218181
"TSHR",0.544953138312998
"NCR3",0.544524899950731
"RUNX3",0.542980822488184
"SOX4",0.540043566147321
"JAML",0.538948240732548
"BST2",0.537953895349071
"NMRK2",0.53779767512905
"VTRNA2-1",0.537294461092792
"XAF1",0.536144744197996
"TMC2",0.535842102667278
"GRK7",0.535822634095017
"KRT8P41",0.533888927024416
"PRKAG3",0.533282989367064
"LOC100288069",0.532361538649249
"CCDC8",0.530688484976284
"NFE2",0.529978973307242
"CYP21A2",0.52703671772528
"CDC42BPG",0.525226761047819
"OIT3",0.520111547912443
"LOC101929679",0.518120805659141
"RRAD",0.517760855232818
"DDIT4",0.517394973014597
"COLEC11",0.516666881682592
"LOC102723769",0.515218646243736
"SLC22A31",0.51418084238647
"TMEM184A",0.509566262403992
"PRSS30P",0.507122223224106
"FHL5",0.507101434513578
"RHD",0.499354589224922
"CDH15",0.498483948368973
"SIX3",0.496964053134299
"IRX5",0.495272705802702
"CD34",0.490667054961796
"LOC101927870",0.490145415543165
"KCNE4",0.489031611099872
"HSPA1A",0.488086302720327
"INMT",0.486335843964377
"BARHL2",0.482400624216432
"SMOC2",0.481886153188582
"PNLDC1",0.481290632276101
"MIOX",0.478915613497035
"LILRB5",0.471995295104253
"SNORA68",0.471267662958665
"TNFSF14",0.471008441684198
"SNORA3B",0.46611347716419
"SLC7A2",0.461434025993727
"UPK3B",0.461049071162436
"ANO9",0.460793987868307
"GMNC",0.459995174381239
"TLE6",0.458814224519158
"FAM179A",0.454852658688225
"PRR35",0.453819068610382
"IRX2",0.450710711746063
"DNMT3L",0.442220021735017
