"TF","mean_AD","mean_Old","mean_Young","diff_AD_vs_Old","diff_AD_vs_Young","pval_AD_vs_Old","pval_AD_vs_Young","padj_AD_vs_Old","padj_AD_vs_Young"
"BMAL1",13.8634659990118,14.1607091184995,13.6343330049606,-0.297243119487696,0.229132994051225,0.750606796741541,0.824644298125933,0.875652111059524,0.929099242555218
"ATF4",4.03446460595135,3.58150583010934,3.12248800592515,0.452958775842007,0.911976600026201,0.753169111490116,0.340374033374319,0.875652111059524,0.612353172240013
"TCF7L2",4.26863460222272,4.07630600765317,2.78845053874805,0.192328594569543,1.48018406347467,0.756480521980418,0.00548970057316,0.875652111059524,0.154626566144007
"NR5A1",6.33998986500683,6.36809038284928,6.1532656546965,-0.0281005178424554,0.186724210310324,0.800237523337334,0.231699065343138,0.920000962204146,0.543849195041533
"SREBF2",6.55287414483579,6.31838248452323,8.26285096170607,0.234491660312561,-1.70997681687028,0.813863704514799,0.108337836767412,0.923284654884201,0.404313098857789
"NR1H3",18.5645499920062,18.6232218770576,18.5711121263106,-0.0586718850514103,-0.00656213430445263,0.814020198684887,0.976977871549994,0.923284654884201,0.993111243103463
"SP3",1.16458830997739,1.07570371942493,1.07548047344765,0.0888845905524542,0.0891078365297371,0.824625427024189,0.822100889111656,0.929077981113919,0.929099242555218
"FOXO3",10.6535519454264,10.6405132994213,10.5988556647844,0.0130386460050786,0.0546962806419593,0.837007231233701,0.484093669895215,0.931517834729908,0.701781800049852
"NR2C2",15.2360689685606,15.0358277838279,15.3170079035702,0.200241184732771,-0.0809389350095948,0.845776993484912,0.941406380472798,0.931517834729908,0.993111243103463
"FOS",13.8657727154007,13.8572845610533,13.7487899981702,0.00848815434738981,0.116982717230467,0.848269446760967,0.00927612901444429,0.931517834729908,0.19630690215632
